nama_makanan,label,energi_kkal,protein_g,lemak_g,karbohidrat_g
Lepok/Ubi rumput,Makanan Pokok,181,2.8,1.2,39.8
Leunca buah,Buah,33,1.9,0.1,7.4
Leupeut Ketan ,Lauk Pauk,240,7.8,0.5,51.3
Leverwost (sosis hati),Lauk Pauk,387,16.0,22.0,3.0
Lilin bungkus gedi,Lauk Pauk,79,2.3,5.2,5.8
Lobak,Lauk Pauk,19,0.9,0.1,4.2
Lokan segar,Lauk Pauk,217,11.0,1.7,5.1
Lontar segar,Lauk Pauk,27,0.4,0.2,6.0
Lopis ,Lauk Pauk,163,2.8,2.2,33.0
Lumai/Leunca segar,Lauk Pauk,38,1.1,0.3,7.6
Lupis ketan,Lauk Pauk,164,1.8,2.1,34.5
Madu,Lauk Pauk,294,0.3,0.0,79.5
Maizena tepung,Lauk Pauk,341,0.3,0.0,85.0
Makaroni,Lauk Pauk,363,8.7,0.4,78.7
Mangga benggala segar,Buah,63,2.4,0.4,12.4
Mangga Gedong,Buah,44,0.7,0.2,11.2
Mangga Golek,Buah,63,0.5,0.2,16.7
Mangga Harum Manis,Buah,46,0.4,0.2,11.9
Mangga Indramayu,Buah,72,0.8,0.2,18.7
Mangga Kopek,Buah,56,0.4,0.2,14.6
Mangga kwini segar,Buah,86,0.7,0.5,19.8
Mangga manalagi segar,Buah,133,1.0,0.1,32.1
Mangga Muda,Buah,59,0.5,0.4,15.1
Mangga segar,Buah,52,0.7,0.0,12.3
Manggis,Lauk Pauk,63,0.6,0.6,15.6
Margarin,Lauk Pauk,720,0.6,81.0,0.4
Markisa segar,Lauk Pauk,144,3.5,1.2,29.8
Markisa squash,Lauk Pauk,217,2.5,1.0,49.6
Markisa squash BD,Lauk Pauk,104,1.2,0.5,23.7
Martabak  manis,Lauk Pauk,265,4.7,5.5,49.3
Martabak india,Lauk Pauk,153,4.5,4.2,24.3
Martabak mesir,Lauk Pauk,278,5.1,8.6,45.0
Martabak Telur ,Lauk Pauk,200,8.9,5.1,29.5
Masekat,Lauk Pauk,369,2.1,7.0,74.1
Matoa segar,Lauk Pauk,90,1.2,0.1,21.1
Melase,Lauk Pauk,276,0.0,0.1,71.0
Melinjo,Lauk Pauk,66,5.0,0.7,13.3
Melon segar,Lauk Pauk,37,0.6,0.4,7.8
Menjangan daging dendeng mentah,Lauk Pauk,322,55.8,2.0,22.7
Mentega,Lauk Pauk,725,0.5,81.6,1.4
Menteng,Lauk Pauk,65,1.7,0.2,16.1
Merica,Lauk Pauk,359,11.5,6.8,64.4
Mi basah,Lauk Pauk,88,0.6,3.3,14.0
Mi golosor,Lauk Pauk,71,0.2,0.8,15.9
Mi kering,Lauk Pauk,339,10.0,1.7,6.3
Mie aceh rebus,Makanan Pokok,113,3.0,3.2,18.1
Mie ayam,Makanan Pokok,102,6.2,3.9,10.5
Mie bakso,Makanan Pokok,114,5.3,3.0,16.4
Mie basah,Makanan Pokok,86,0.6,3.3,14.0
Mie Bendo,Makanan Pokok,353,0.3,0.0,88.0
Mie celon,Makanan Pokok,102,3.0,2.1,17.8
Mie Goreng ,Makanan Pokok,468,7.6,20.4,62.4
Mie kering,Makanan Pokok,337,7.9,11.8,50.0
Mie pangsit basah,Makanan Pokok,105,5.9,4.9,9.4
Mie Sagu,Makanan Pokok,190,0.2,0.4,46.5
Minyak Hati Hiu (Eulamia),Lauk Pauk,902,0.0,100.0,0.0
Minyak Ikan,Lauk Pauk,902,0.0,100.0,0.0
Minyak Kacang Tanah,Lauk Pauk,902,0.0,100.0,0.0
Minyak kedelai,Lauk Pauk,883,0.0,99.9,0.0
Minyak Kelapa,Lauk Pauk,870,1.0,98.0,0.0
Minyak Kelapa Sawit,Sayur Mayur,902,0.0,100.0,0.0
Minyak Wijen,Lauk Pauk,902,0.0,100.0,0.0
Minyak Zaitun,Lauk Pauk,884,0.0,100.0,0.0
Misoa,Lauk Pauk,345,8.5,2.2,78.0
Misro ,Lauk Pauk,218,0.8,16.0,50.2
Moon tahu,Lauk Pauk,128,8.0,10.0,1.3
Mostarda metan -sawi,Sayur Mayur,33,2.3,0.5,4.7
Mujahir acar kuning masakan,Lauk Pauk,330,17.8,23.4,12.1
Naan maran sapi masakan,Lauk Pauk,478,38.3,33.9,5.1
Nanas,Lauk Pauk,52,0.4,0.2,13.7
Nanas palembang segar,Lauk Pauk,58,0.7,0.2,13.3
Nangka biji,Lauk Pauk,165,4.2,0.1,36.7
Nangka masak di pohon,Lauk Pauk,106,1.2,0.3,27.6
Nangka Muda,Lauk Pauk,51,2.0,0.4,11.3
Nasi,Makanan Pokok,180,3.0,0.3,39.8
Nasi beras merah,Makanan Pokok,149,2.8,0.4,32.5
Nasi gemuk,Makanan Pokok,192,3.8,8.8,24.4
Nasi Goreng ,Makanan Pokok,276,3.2,3.2,30.2
Nasi gurih,Makanan Pokok,190,4.7,7.5,26.0
Nasi jagung,Makanan Pokok,357,8.8,0.5,79.5
Nasi minyak,Makanan Pokok,207,3.5,5.0,37.1
Nasi rames,Makanan Pokok,155,10.3,4.2,19.1
Nasi tim,Makanan Pokok,120,2.4,0.4,26.0
Nasi Uduk ,Makanan Pokok,253,4.3,21.0,11.7
Nasu likku masakan,Lauk Pauk,196,14.5,8.3,15.9
Noga Kacang Tanah ,Lauk Pauk,600,14.0,41.7,42.0
Nopia spesial,Lauk Pauk,387,5.3,7.6,74.3
Olah-olah,Lauk Pauk,9,2.1,6.0,7.1
Oncom,Lauk Pauk,187,13.0,6.0,22.6
Oncom ampas kacang hijau,Lauk Pauk,376,14.9,6.0,65.7
Oncom Goreng ,Lauk Pauk,363,19.3,19.3,40.3
Oncom Hitam Goreng ,Lauk Pauk,284,12.0,14.4,13.6
Oncom Hitam Goreng bertepung ,Lauk Pauk,306,9.0,18.0,27.0
Oncom kacang hijau + singkong,Makanan Pokok,351,11.0,5.3,65.9
Oncom Kacang Tanah pepes,Lauk Pauk,132,12.7,3.8,13.7
Oncom Kedele,Lauk Pauk,187,13.0,6.0,22.6
Oncom Merah Goreng ,Lauk Pauk,368,6.8,32.0,13.2
Oncom Merah Goreng bertepung ,Lauk Pauk,320,7.3,18.7,31.0
Oncom Merah Sayur (tumis) ,Sayur Mayur,40,2.0,2.0,3.0
Oncom pepes,Lauk Pauk,76,5.2,1.8,10.6
Onde-onde ,Lauk Pauk,288,8.3,8.9,44.3
Ongol-ongol ,Lauk Pauk,115,1.5,6.0,14.0
Ongol-ongol sagu,Lauk Pauk,111,0.3,2.7,21.2
Opak Singkong ,Makanan Pokok,940,36.0,42.0,104.0
Oramu ninahu ndawa olaho masakan,Lauk Pauk,117,13.7,5.0,4.3
Otak,Lauk Pauk,125,10.4,8.6,0.8
Oyek,Lauk Pauk,351,0.9,0.9,84.9
Oyek (dari singkong),Makanan Pokok,342,2.3,0.1,83.1
Paku hinela wulelenggapaya,Lauk Pauk,77,3.5,4.6,5.4
Pala biji,Lauk Pauk,494,7.5,36.4,40.1
Pala daging,Lauk Pauk,42,0.3,0.2,10.9
Paniki masak santan masakan,Lauk Pauk,460,28.5,35.2,7.2
Papais ,Lauk Pauk,133,3.0,1.6,27.0
Papeda,Lauk Pauk,61,0.2,0.1,14.9
Parede baleh masakan,Lauk Pauk,87,10.5,2.5,5.5
Paria (Pare),Lauk Pauk,29,1.1,0.3,6.6
Paria Putih kukus,Lauk Pauk,16,0.8,0.2,3.4
Paria putih segar,Lauk Pauk,19,1.0,0.4,3.6
Pastel,Lauk Pauk,307,4.5,13.3,42.4
Pati Singkong (tapioka),Makanan Pokok,362,0.5,0.3,86.9
Pe-Cay,Lauk Pauk,23,1.8,0.3,4.5
Peda Ikan Banjar,Lauk Pauk,156,28.0,4.0,0.0
Pelecing kangkung,Sayur Mayur,75,2.5,2.8,10.0
Pelepah manuk masakan,Lauk Pauk,219,19.7,13.6,4.4
Pempek adaan,Lauk Pauk,162,4.9,3.0,27.8
Pempek belida,Lauk Pauk,156,4.2,1.4,31.6
Pempek kapal selam,Lauk Pauk,152,4.5,2.3,28.2
Pempek kelesan,Lauk Pauk,211,12.3,6.1,26.6
Pempek kulit,Lauk Pauk,243,5.2,7.3,39.1
Pempek tenggiri,Lauk Pauk,173,7.2,1.2,33.4
Pencok lele masakan,Lauk Pauk,372,7.8,36.3,3.5
Penyu serapah masakan,Lauk Pauk,174,13.1,12.2,2.2
Pepare ular segar,Lauk Pauk,19,0.6,0.1,3.9
Pepaya lodeh,Buah,275,11.6,11.6,30.2
Pepaya Muda,Buah,26,2.1,0.1,4.9
Pepaya segar,Buah,46,0.5,12.0,12.2
Pepea oncom ampas tahu,Lauk Pauk,76,5.2,1.8,10.6
Permen ,Makanan Ringan,400,0.0,0.0,95.0
Pete Segar,Lauk Pauk,142,10.4,2.0,22.0
Peterseli,Lauk Pauk,50,3.7,1.0,9.0
Petis Ikan,Lauk Pauk,161,20.0,0.2,24.0
Petis Udang,Lauk Pauk,220,15.0,0.1,40.0
Petis udang kering,Lauk Pauk,345,23.8,1.4,59.3
Petis udang pasta,Lauk Pauk,220,15.0,0.9,38.0
Pilus ,Lauk Pauk,514,1.0,27.8,647.0
Pinda masakan,Lauk Pauk,107,15.9,0.6,0.4
Pindang Ikan Banjar,Lauk Pauk,157,28.0,4.2,0.0
Pindang Ikan Benggol,Lauk Pauk,170,31.0,4.2,0.0
Pindang Ikan Layang,Lauk Pauk,153,30.0,2.8,0.0
Pindang Ikan Selar Kecil,Lauk Pauk,142,27.0,3.0,0.0
Pindang kenari masakan,Lauk Pauk,124,9.5,9.6,0.0
Pisang Ambon,Buah,99,1.2,0.2,25.8
Pisang angleng (pisang ampyang) segar,Buah,68,1.3,0.2,17.2
Pisang ayam segar,Lauk Pauk,120,1.1,0.2,26.8
Pisang gapi segar ,Buah,127,2.1,0.3,31.1
Pisang Goreng ,Buah,220,2.3,2.3,6.3
Pisang goroho segar,Buah,115,1.9,0.2,27.9
Pisang hijau segar,Buah,117,2.0,0.3,28.9
Pisang kayu segar,Buah,100,1.4,0.5,23.6
Pisang kepok segar,Buah,109,0.8,0.5,26.3
Pisang ketip segar,Buah,145,1.1,0.3,34.5
Pisang kidang segar,Buah,96,1.0,0.2,22.5
Pisang Lampung,Buah,99,1.3,0.2,25.6
Pisang Mas,Buah,127,1.4,0.2,33.6
Pisang mas bali,Buah,127,1.4,0.2,31.8
Pisang Oli,Buah,134,1.1,0.5,35.5
Pisang Raja,Buah,120,1.2,0.2,31.8
Pisang Raja Sere (Susu),Buah,118,1.2,0.2,31.1
Pisang rotan segar,Buah,98,1.3,1.2,20.5
Pisang Siam goreng,Buah,625,1.0,0.0,8.1
Pisang talas segar,Buah,113,1.2,0.2,26.7
Prey (bawang daun),Lauk Pauk,45,2.2,0.3,10.3
Pucuk lumai/daun leunca segar,Lauk Pauk,33,4.5,0.4,2.8
Pulut,Lauk Pauk,216,2.6,3.1,44.4
Punai daging goreng,Lauk Pauk,224,26.2,11.3,4.4
Pundut nasi,Makanan Pokok,104,1.9,4.1,15.1
Purundawa,Lauk Pauk,25,1.5,0.5,3.6
Purut segar,Lauk Pauk,76,4.1,1.1,15.2
Putri malu segar,Lauk Pauk,76,3.6,0.3,14.6
Putri selat,Lauk Pauk,163,2.2,6.5,23.8
Putu Mayang ,Lauk Pauk,200,1.0,2.4,43.8
Ragi,Lauk Pauk,136,43.0,2.4,3.0
Rajungan segar,Lauk Pauk,76,12.1,2.0,2.4
Rambutan,Lauk Pauk,69,0.9,0.1,18.1
Rambutan Aceh,Lauk Pauk,11,0.0,0.0,2.7
Rambutan binjai segar,Lauk Pauk,76,0.5,0.2,18.0
Rambutan sinyonya,Lauk Pauk,4,0.0,0.0,0.9
Rarawuan ,Lauk Pauk,295,7.3,8.5,47.5
Rasbi (Beras Ubi),Makanan Pokok,394,2.2,8.8,76.6
Rasi (Beras Singkong),Makanan Pokok,350,0.9,0.4,85.7
Rawon masakan,Lauk Pauk,60,5.4,2.5,4.0
Rebon (udang kecil segar),Lauk Pauk,81,16.2,1.2,0.7
Rebon kering,Lauk Pauk,299,29.4,3.6,3.2
Rebon udang kecil segar,Lauk Pauk,81,16.2,1.2,0.7
Rebung,Lauk Pauk,27,0.6,0.3,5.2
Rebung laut mentah,Lauk Pauk,320,7.2,4.2,63.3
Rempeyek kacang tolo,Lauk Pauk,451,11.2,20.2,59.7
Rempeyek kacang uci,Lauk Pauk,497,17.0,27.6,50.8
Rendang sapi masakan,Lauk Pauk,193,22.6,7.9,7.8
Renggi goreng,Lauk Pauk,471,4.7,21.8,64.1
Rimbang segar,Lauk Pauk,75,1.6,0.6,15.8
Risoles ,Lauk Pauk,335,5.3,3.5,70.5
Roti boong,Makanan Pokok,341,5.5,16.2,43.3
Roti Gambang ,Makanan Pokok,350,7.5,2.0,75.5
Roti Putih,Makanan Pokok,248,8.0,1.2,50.0
Roti warna sawo matang,Makanan Pokok,249,7.9,1.5,49.7
Rujak cingur,Lauk Pauk,153,11.3,8.4,8.0
Rumput laut,Lauk Pauk,41,1.4,0.3,8.1
Rusa daging dendeng mentah,Lauk Pauk,536,40.5,41.5,0.0
Rusip,Lauk Pauk,110,11.5,2.0,11.7
RW anjing masakan,Lauk Pauk,198,24.6,10.7,0.9
Saga biji tanpa kulit,Lauk Pauk,449,30.6,25.5,31.9
Sagu Ambon ,Lauk Pauk,338,0.6,0.3,83.1
Sagu aren kering,Lauk Pauk,355,0.6,1.1,85.6
Sagu aren segar,Lauk Pauk,231,0.6,0.2,56.6
Sagu forno,Lauk Pauk,291,0.5,4.0,63.4
Sagu kasbi segar,Lauk Pauk,230,0.6,0.2,56.5
Sagu Lemak (Kue Sagon),Makanan Ringan,452,2.8,14.8,76.8
Sagu lempeng,Lauk Pauk,347,0.9,0.3,85.2
Sagu Rendang,Lauk Pauk,364,0.1,0.2,90.5
Sagu singkong kering,Makanan Pokok,362,0.5,0.3,86.9
Sagu sinole,Lauk Pauk,354,0.8,8.3,68.9
Salak bali segar,Lauk Pauk,57,0.5,0.1,13.6
Salak medan segar,Lauk Pauk,55,0.4,0.2,12.8
Salak pondoh segar,Lauk Pauk,87,0.8,0.4,20.1
Sale pisang siam,Buah,281,2.4,0.7,66.1
Santan (dengan air),Lauk Pauk,122,2.0,10.0,7.6
Santan (kelapa saja),Lauk Pauk,324,4.2,34.3,55.6
Santan murni,Lauk Pauk,324,4.2,34.3,5.6
Saos Tomat,Lauk Pauk,98,2.0,0.4,24.5
Sapi abon,Lauk Pauk,212,18.0,10.6,59.3
Sapi babat segar,Lauk Pauk,108,17.6,4.2,0.0
Sapi daging asap,Lauk Pauk,182,32.0,6.0,0.0
Sapi daging dendeng mentah,Lauk Pauk,301,55.0,9.0,0.0
Sapi daging gemuk segar,Lauk Pauk,273,17.5,22.0,0.0
Sapi daging kornet,Lauk Pauk,289,16.0,25.0,0.0
Sapi daging kurus segar,Lauk Pauk,174,19.6,10.0,0.0
Sapi daging lemak sedang segar,Lauk Pauk,201,18.8,14.0,0.0
Sapi daging sosis (Worst),Lauk Pauk,448,14.5,42.3,2.3
Sapi daleman segar,Lauk Pauk,183,12.0,14.4,1.4
Sapi dideh/darah,Lauk Pauk,98,21.9,1.1,0.0
Sapi ginjal segar,Lauk Pauk,137,15.0,8.1,0.9
Sapi hati sosis (liverworst),Lauk Pauk,274,16.0,22.0,3.0
Sapi keleponan segar,Lauk Pauk,84,10.5,4.6,0.2
Sapi liver segar,Lauk Pauk,132,19.7,3.2,6.0
Sapi otak segar,Lauk Pauk,123,10.4,8.6,0.8
Sapi paru dendeng mentah,Lauk Pauk,360,57.3,6.0,19.2
Sapi paru goreng,Lauk Pauk,268,23.9,12.7,14.5
Sapi usus segar,Lauk Pauk,126,14.0,7.2,1.5
Sarang Burung,Lauk Pauk,281,37.5,0.3,32.1
Sardines dalam kaleng,Lauk Pauk,338,21.1,27.0,1.0
Sari Kedelai bubuk,Lauk Pauk,344,30.0,20.0,43.0
Sarimuka,Lauk Pauk,166,2.3,2.8,32.9
Sate Bandeng,Lauk Pauk,283,12.1,16.8,20.9
Sate Kulit ,Lauk Pauk,110,15.5,0.5,11.5
Sate penyu masakan,Lauk Pauk,179,22.5,3.5,13.3
Sate pusut masakan,Lauk Pauk,274,12.9,18.6,13.6
Sate Usus ,Lauk Pauk,126,14.0,7.3,1.3
Sawi,Sayur Mayur,22,2.3,0.3,4.0
Sawi putih / pecai segar,Sayur Mayur,9,1.0,0.1,1.7
Sawi taiwan segar,Sayur Mayur,30,1.9,0.5,4.4
Sawi tanah segar,Sayur Mayur,19,1.3,0.2,2.9
Sawo,Lauk Pauk,92,0.5,1.1,22.4
Sawo duren segar,Lauk Pauk,64,1.0,3.1,8.0
Sawo kecik segar,Lauk Pauk,111,0.9,2.3,21.6
Sawo Manila segar,Lauk Pauk,92,0.5,1.1,22.4
Sayur asem,Sayur Mayur,29,0.7,0.6,5.0
Sayur bunga pepaya,Sayur Mayur,49,1.7,0.3,9.8
Sayur garu,Sayur Mayur,178,2.6,13.9,10.6
Sayur kohu-kohu,Sayur Mayur,133,7.3,6.6,11.2
Sayur lebui,Sayur Mayur,64,2.1,0.6,12.5
Sayur lilin-terubuk,Sayur Mayur,36,2.7,0.7,4.8
Sayur ndusuk,Sayur Mayur,49,3.1,2.5,3.6
Sayur sop,Sayur Mayur,27,1.3,2.0,1.0
Sayur umbut kelapa,Sayur Mayur,67,5.2,2.9,5.1
Sayur umbut rotan,Sayur Mayur,57,5.4,2.6,3.1
Selada,Sayur Mayur,15,1.2,0.2,2.9
Selada Air,Sayur Mayur,17,1.7,0.3,3.0
Selada Air rebus,Sayur Mayur,19,2.7,0.2,2.9
Seledri,Lauk Pauk,20,1.0,0.1,4.6
Semangka,Lauk Pauk,28,0.5,0.2,6.9
Semur Jengkol ,Sayur Mayur,192,4.5,6.0,30.3
Sente,Lauk Pauk,64,0.6,0.3,14.8
Sente talas segar,Lauk Pauk,353,0.7,0.2,84.7
Sepi masakan,Lauk Pauk,88,7.9,1.6,10.6
Serbuk Coklat,Makanan Ringan,298,8.0,23.8,48.9
Serimping talas kebumen,Lauk Pauk,478,2.5,21.2,69.2
Setrup sirup,Lauk Pauk,213,0.0,0.0,55.0
Shabu-shabu,Lauk Pauk,88,3.2,8.0,0.8
Sie reuboh masakan,Lauk Pauk,474,11.2,42.5,11.7
Singkah (rotan muda),Lauk Pauk,81,5.1,4.5,5.1
Singkong Goreng ,Makanan Pokok,285,1.0,18.0,28.0
Singkong kukus,Makanan Pokok,146,1.2,0.3,34.7
Singkong tape,Makanan Pokok,173,0.5,0.1,42.5
Siomay ,Lauk Pauk,95,4.4,2.2,14.4
Sirsak,Lauk Pauk,65,1.0,0.3,16.3
Sirup,Lauk Pauk,213,0.0,0.0,55.0
Sop buntut masakan,Lauk Pauk,71,7.5,3.6,2.2
Sop daging sapi masakan,Lauk Pauk,49,5.8,0.5,5.3
Sop kaki sapi masakan,Lauk Pauk,68,9.0,1.9,3.7
Sop kambing masakan,Lauk Pauk,34,5.5,0.8,1.1
Sop konro masakan,Lauk Pauk,71,7.4,2.6,4.5
Sop Kool,Lauk Pauk,12,0.5,0.1,2.0
Sop Kool dan Wortel,Sayur Mayur,15,0.6,0.1,3.1
Sop saudara masakan,Lauk Pauk,89,7.2,5.0,3.9
Soto bandung masakan,Lauk Pauk,42,3.9,1.7,2.8
Soto banjar masakan,Lauk Pauk,110,2.9,9.5,3.2
Soto betawi masakan,Lauk Pauk,135,2.5,8.8,11.5
Soto dengan Daging,Lauk Pauk,127,2.6,9.4,8.3
Soto jeroan masakan,Lauk Pauk,92,11.8,4.3,1.4
Soto kudus masakan,Lauk Pauk,38,2.6,2.3,1.8
Soto madura masakan,Lauk Pauk,60,3.5,4.5,1.3
Soto padang masakan,Lauk Pauk,127,5.9,6.6,11.0
Soto pekalongan masakan,Lauk Pauk,94,3.0,6.8,5.1
Soto pemalang masakan,Lauk Pauk,75,3.6,5.2,3.5
Soto sukaraja masakan,Lauk Pauk,80,3.2,3.5,9.0
Soto sulung masakan,Lauk Pauk,86,2.3,8.5,0.0
Soto tanpa Daging ,Lauk Pauk,117,0.4,8.6,9.6
Spaghetti,Lauk Pauk,139,7.4,2.1,22.6
Srikaya,Lauk Pauk,101,1.7,0.6,35.2
Sukiyaki masakan,Lauk Pauk,75,5.6,0.4,12.2
Sukun muda segar,Lauk Pauk,119,1.4,0.2,28.1
Sukun tua segar,Lauk Pauk,126,1.6,0.2,24.5
Susu asam untuk bayi bubuk,Lauk Pauk,418,19.0,9.0,65.5
Susu bubuk,Lauk Pauk,513,24.6,30.0,36.2
Susu Kambing,Lauk Pauk,64,4.3,2.3,6.6
Susu Kedelai,Lauk Pauk,41,3.5,2.5,5.0
Susu Kental Manis,Lauk Pauk,336,8.2,10.0,55.0
Susu Kental Tak Manis,Lauk Pauk,138,7.0,7.9,9.9
Susu Kerbau,Lauk Pauk,160,6.3,12.0,7.1
Susu Sapi,Lauk Pauk,61,3.2,3.5,4.3
Susu Skim (tak berlemak),Lauk Pauk,36,3.5,0.1,5.1
Susu skim bubuk,Lauk Pauk,359,35.6,1.0,52.0
Susu skim segar,Lauk Pauk,36,3.5,0.1,5.1
Susupan,Lauk Pauk,87,5.3,5.2,6.3
Suweg kukus,Lauk Pauk,90,1.5,0.1,21.9
Suweg mentah,Lauk Pauk,69,1.0,0.1,15.7
Suweg talas segar,Lauk Pauk,74,1.4,0.1,17.2
Suwir-suwir,Lauk Pauk,347,0.5,0.9,84.2
Tahu,Lauk Pauk,68,7.8,4.6,1.6
Tahu goreng,Lauk Pauk,115,9.7,8.5,2.5
Tahu telur,Lauk Pauk,328,12.6,19.9,24.6
Takwa,Lauk Pauk,148,13.8,8.5,4.0
Talas bogor kukus,Lauk Pauk,120,1.5,0.3,28.2
Talas pontianak segar,Lauk Pauk,163,2.3,0.5,36.4
Talas viqueque segar,Lauk Pauk,115,1.8,0.5,25.9
Tales kukus,Lauk Pauk,120,1.5,0.3,28.2
Tales mentah,Lauk Pauk,98,1.9,0.2,23.7
Taoco,Lauk Pauk,166,10.4,4.9,24.1
Taoge goreng,Lauk Pauk,88,3.2,2.1,14.0
Taoge kacang kedelai segar,Lauk Pauk,76,9.0,2.6,6.4
Taoge seduh,Lauk Pauk,28,3.0,0.8,4.0
Taoge segar,Lauk Pauk,34,3.7,1.2,4.3
Taokoa,Lauk Pauk,104,12.9,6.8,1.2
Tapai beras,Makanan Pokok,99,1.7,0.3,22.4
Tapai ketan hitam,Lauk Pauk,166,3.8,1.0,34.4
Tapai ketan putih,Lauk Pauk,172,3.0,0.5,37.5
Tapai singkong,Makanan Pokok,169,1.4,0.3,40.2
Tauco cap DAS cake,Lauk Pauk,358,7.5,4.3,70.4
Tauji cap singa,Lauk Pauk,277,9.1,4.7,49.6
Tebu Terubuk,Lauk Pauk,25,4.6,0.4,3.0
Tedong pallu basa masakan,Lauk Pauk,83,10.4,3.4,2.8
Teh,Lauk Pauk,132,19.5,0.7,67.8
Teh hijau daun kering,Lauk Pauk,300,28.3,4.8,53.6
Teh melati daun kering,Lauk Pauk,299,24.1,3.5,59.0
Tekokak,Lauk Pauk,34,2.0,0.1,7.9
Tekokak kering,Lauk Pauk,294,8.3,1.7,72.6
Tekwan,Lauk Pauk,53,1.9,0.9,9.4
Telur Ayam,Lauk Pauk,162,12.8,11.5,0.7
Telur Ayam bagian kuning,Lauk Pauk,361,19.3,31.9,0.7
Telur Ayam bagian putih,Lauk Pauk,50,10.8,0.0,0.8
Telur Ayam ceplok,Lauk Pauk,383,15.1,32.9,8.3
Telur Ayam dadar,Lauk Pauk,251,16.3,19.4,1.4
Telur ayam kampung ,Lauk Pauk,179,13.6,13.3,4.4
Telur bebek bagian kuning segar,Lauk Pauk,386,17.0,35.0,0.8
Telur Bebek bagian putih,Lauk Pauk,54,11.0,0.0,0.8
Telur bebek bagian putih segar,Lauk Pauk,54,11.0,0.0,0.8
Telur Bebek ceplok,Lauk Pauk,320,15.1,30.5,0.9
Telur Bebek dadar,Lauk Pauk,301,20.0,23.7,0.0
Telur bebek tambak segar,Lauk Pauk,187,10.9,12.4,7.9
Telur Bebek telur asin,Lauk Pauk,195,13.6,13.6,1.4
Telur burung puyuh segar,Lauk Pauk,116,10.7,7.0,1.6
Telur Penyu,Lauk Pauk,144,12.0,10.2,0.0
Telur Terubuk,Lauk Pauk,425,31.0,28.0,10.0
Tempe bongkrek,Lauk Pauk,119,4.4,3.5,18.3
Tempe Gembus,Lauk Pauk,73,5.7,1.3,4.2
Tempe gembus yogya,Lauk Pauk,76,6.8,0.7,10.6
Tempe Goreng ,Lauk Pauk,328,18.4,23.2,12.8
Tempe kacang babi,Lauk Pauk,139,12.5,0.8,21.9
Tempe kacang belimbing,Lauk Pauk,212,17.5,10.0,12.9
Tempe kedelai + jagung,Makanan Pokok,143,12.0,5.5,11.4
Tempe kedelai murni goreng,Lauk Pauk,350,24.5,26.6,10.4
Tempe kedelai murni mentah,Lauk Pauk,201,20.8,8.8,13.5
Tempe koro benguk,Lauk Pauk,141,10.2,1.3,23.2
Tempe lamtoro var. gung dengan kulit,Lauk Pauk,146,11.7,2.3,19.6
Tempe lamtoro var. gung tanpa kulit,Lauk Pauk,131,18.0,0.8,13.0
Tempe pasar segar,Lauk Pauk,150,14.0,7.7,9.1
Tempe pasar goreng,Lauk Pauk,336,20.0,28.0,7.8
Tempe Sayur ,Sayur Mayur,240,6.0,2.7,49.3
Tempoya,Lauk Pauk,110,1.7,1.3,21.9
Tempuyak,Lauk Pauk,126,1.1,2.2,25.7
Tepung Arrowroot,Lauk Pauk,355,0.7,0.2,85.2
Tepung Beras,Makanan Pokok,364,7.0,0.5,80.0
Tepung beras mentah,Makanan Pokok,353,7.0,0.5,80.0
Tepung Ganyong,Lauk Pauk,353,0.8,1.7,83.6
Tepung Gaplek,Lauk Pauk,363,1.1,0.5,88.2
Tepung Garut (arrowroot),Lauk Pauk,355,0.7,0.2,85.2
Tepung Hunkwee,Lauk Pauk,364,4.5,1.0,83.5
Tepung Ikan,Lauk Pauk,316,60.1,6.5,22.4
Tepung Jagung Kuning,Makanan Pokok,355,9.2,3.9,73.7
Tepung jagung putih,Makanan Pokok,355,9.2,3.9,73.7
Tepung Jalejo,Lauk Pauk,388,19.0,7.5,61.2
Tepung Kacang Kedelai,Lauk Pauk,347,35.9,20.6,29.9
Tepung Kentang,Makanan Pokok,347,0.3,0.1,85.6
Tepung Mocaf,Lauk Pauk,350,1.2,0.6,85.0
Tepung Pisang,Buah,338,2.9,0.4,80.6
Tepung Sagu,Lauk Pauk,353,0.7,0.2,84.7
Tepung Sente,Lauk Pauk,326,4.0,0.4,76.7
Tepung singkong/ Tapioka,Makanan Pokok,363,1.1,0.5,88.2
Tepung Sukun,Lauk Pauk,353,2.9,0.5,84.4
Tepung Susu,Lauk Pauk,509,24.6,30.0,36.2
Tepung Susu Asam untuk bayi,Lauk Pauk,418,19.0,9.0,65.5
Tepung Susu Skim,Lauk Pauk,362,35.6,1.0,52.0
Tepung Tales Beneng,Lauk Pauk,332,5.7,0.6,76.1
Tepung Terigu,Lauk Pauk,365,8.9,1.3,77.3
Tepung Ubi Ungu,Makanan Pokok,354,2.8,0.6,84.4
Terasi,Lauk Pauk,155,22.3,2.9,9.9
Terasi dobo,Lauk Pauk,191,33.1,3.6,6.6
Terasi Merah,Lauk Pauk,174,30.0,3.5,3.5
Terasi merah,Lauk Pauk,174,30.0,3.5,5.6
Teri balado masakan,Lauk Pauk,365,23.7,22.3,17.5
Teripang dendeng mentah,Lauk Pauk,462,39.1,32.4,3.5
Terong,Lauk Pauk,24,1.1,0.2,5.5
Terong + Oncom makanan,Lauk Pauk,285,4.3,25.7,9.5
Terong Asam,Lauk Pauk,39,2.3,1.9,2.0
