nama_makanan,label,energi_kkal,protein_g,lemak_g,karbohidrat_g
Bubur sagu,Lauk Pauk,167,0.2,4.0,33.0
Bubur tinotuan (Manado),Lauk Pauk,156,2.3,0.2,15.6
Bulgogi masakan,Lauk Pauk,72,11.4,4.9,1.4
Bulung Jajan,Lauk Pauk,212,16.9,0.2,47.6
Bulung Sangu,Lauk Pauk,237,14.7,0.2,56.0
Buncis,Sayur Mayur,35,2.4,0.2,7.7
Buncis asam,Sayur Mayur,60,5.1,0.5,8.5
Buncis rebus,Sayur Mayur,30,2.2,0.2,6.4
Bunga pepaya segar,Buah,45,2.6,0.3,8.1
Bunga turi segar,Lauk Pauk,42,2.0,1.1,6.1
Bungkil Biji Karet,Lauk Pauk,333,29.3,3.3,50.0
Bungkil Kacang Tanah,Lauk Pauk,336,37.4,13.0,30.5
Bungkil Kelapa,Lauk Pauk,368,23.0,15.0,40.0
Buntil ,Lauk Pauk,106,4.4,6.3,7.9
Buntil daun talas,Lauk Pauk,141,4.4,10.2,8.0
Buras ,Lauk Pauk,125,3.3,1.9,23.9
Burung sarang segar,Lauk Pauk,281,37.5,0.3,32.1
Cabai gembor merah segar,Lauk Pauk,38,1.6,0.8,6.3
Cabai hijau segar,Lauk Pauk,26,0.7,0.3,5.2
Cabai merah kering,Lauk Pauk,367,15.9,6.2,61.8
Cabai merah segar,Lauk Pauk,36,1.0,0.3,7.3
Cabai rawit segar,Lauk Pauk,120,4.7,2.4,19.9
Caisin segar,Lauk Pauk,20,1.7,0.4,3.4
Cakalang asar (asap papua),Lauk Pauk,155,20.1,3.8,10.2
Cake tape,Lauk Pauk,323,4.9,11.5,50.1
Cammetutu,Lauk Pauk,102,3.2,6.0,8.7
Cantel mentah,Lauk Pauk,366,11.0,3.3,73.0
Cap cai sayur,Sayur Mayur,97,5.8,6.3,4.2
Carica papaya segar,Lauk Pauk,24,1.9,0.2,3.7
Cassavastick,Lauk Pauk,460,0.8,18.7,17.2
Cempedak,Lauk Pauk,116,3.0,0.4,28.6
